title,user rating score,user rating size
13 Reasons Why,792,640
Prison Break,686,560
Girlboss,658,560
Grey's Anatomy,588,480
Shameless (U.S.),582,480
Pretty Little Liars,576,480
Anastasia,558,480
New Girl,546,480
The Vampire Diaries,546,480
Grace and Frankie,540,480
The Iron Giant,498,480
Criminal Minds,490,400
Finding Dory,490,400
Friends,490,400
The Office (U.S.),485,400
Zootopia,485,400
Gossip Girl,480,400
How to Get Away with Murder,475,400
Tarzan,475,400
The Emperor's New Groove,475,400
How I Met Your Mother,470,400
Parks and Recreation,470,400
The Client List,460,400
Scooby-Doo,430,400
Cool Runnings,405,400
The Magic School Bus,405,400
Antz,400,400
Marvel's Iron Fist,392,320
Orange Is the New Black,392,320
The Jungle Book,388,320
Alice Through the Looking Glass,384,320
Coraline,380,320
The Great British Baking Show,376,320
Hotel Transylvania 2,372,320
Cars Toons: Mater's Tall Tales,370,400
Chicken Little,368,320
Glee,368,320
Sandy Wexler,368,320
Scandal,368,320
The Angry Birds Movie,368,320
Gilmore Girls,364,320
The Road to El Dorado,364,320
Bates Motel,332,320
Santa Clarita Diet,328,320
Masha and the Bear,324,320
The Secret Life of the American Teenager,324,320
Balto,320,400
Growing Up Wild,320,320
The Get Down,320,320
Parenthood,316,320
Once Upon a Time,294,240
Breaking Bad,291,240
The 100,291,240
Lilo & Stitch,285,240
Sherlock,285,240
Supernatural,285,240
Bee Movie,282,240
Dave Chappelle,282,240
Home,282,240
Little Einsteins,280,320
Chewing Gum,279,240
White Collar,279,240
House of Cards,273,240
Kung Fu Panda,273,240
Life in Pieces,272,320
An American Tail,268,320
Lie to Me,267,240
Goosebumps,266,240
Dragons: Race to the Edge,264,240
Quantico,264,240
The Real Ghostbusters,260,320
The Little Rascals,258,240
Revenge,252,240
Walt Disney Animation Studios Short Films Collection,252,240
Flubber,249,240
Trollhunters,249,240
Cheer Squad,244,320
Baby Daddy,240,240
Black Mirror,240,240
Goldie & Bear,231,240
Schitt's Creek,222,240
The Originals,222,240
Animaniacs,216,240
Open Season: Scared Silly,216,240
All Hail King Julien,213,240
Paddington,210,240
Star Wars: The Clone Wars,207,240
Annie,204,240
Super Why!,204,240
